part_id,pct_time_bedroom_night,pct_time_bedroom,pct_time_bathroom_night,pct_time_bathroom,pct_time_outdoor,pct_time_kitchen,room_changes_night,room_changes_total,avg_rooms_per_day,avg_time_per_room
124,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,16.0
1001,0.0,14.22,0.0,2.84,12.26,11.43,9,132,4.75,1009.97
1003,0.0,0.0,0.0,3.53,16.71,2.65,0,41,3.33,3583.85
1005,0.0,0.0,0.0,0.0,5.66,0.0,2,82,3.5,1248.93
1006,0.0,6.66,0.0,25.37,6.62,53.58,0,88,6.0,1373.45
1007,0.0,15.62,0.0,1.08,7.01,65.07,0,75,6.0,1082.71
1022,0.0,4.35,0.0,0.0,0.0,1.67,2,11,3.0,6827.19
1023,0.0,0.0,0.0,0.0,0.0,55.78,5,24,2.5,3857.37
1030,7.03,16.52,0.0,0.0,14.54,15.97,36,88,5.5,2529.67
1035,0.0,0.0,0.0,1.1,53.79,9.44,0,69,3.62,7209.84
1036,0.0,0.0,0.0,0.0,76.8,0.0,0,5,1.5,2619.0
1038,0.0,0.41,0.0,0.56,14.85,79.57,3,36,5.5,3087.99
1039,0.08,2.36,0.0,0.92,12.57,81.2,4,49,3.5,2961.98
1040,0.0,0.13,0.0,0.05,15.94,58.41,12,77,4.5,1522.02
1041,0.0,38.21,0.0,0.0,6.63,0.96,3,10,4.5,7104.37
1043,34.62,52.26,0.0,0.0,41.04,0.17,4,19,4.5,4534.55
1044,0.0,0.0,0.0,0.0,2.07,4.18,5,36,2.5,2201.07
1049,0.46,11.0,0.0,1.85,2.19,10.97,3,57,5.0,921.46
1051,10.66,80.07,0.46,2.9,6.42,1.33,8,24,4.0,1735.71
1054,0.0,0.0,0.0,0.0,0.0,18.65,0,7,3.0,311.67
1055,0.71,40.85,0.45,20.21,0.99,3.37,7,109,5.0,2486.99
1066,1.34,57.41,6.73,7.19,10.76,23.07,5,29,4.5,2486.46
1068,0.0,3.36,0.0,0.0,0.95,20.25,0,17,2.5,3094.81
1084,0.0,0.0,0.0,0.0,0.0,5.74,0,7,3.0,186.5
1085,0.0,0.0,0.0,0.64,0.0,18.86,0,8,2.5,106.33
1086,0.0,0.0,0.0,0.0,0.0,0.0,0,9,3.0,47.36
1088,0.0,3.87,0.0,0.0,2.45,52.44,0,41,5.5,86.54
